name,locare,location,price,time,tag,type
湘肴世家湘菜馆,净月开发区,净月开发区永顺路与樱花东街交叉口伟峰东域下沉式商业广场A8-118号商铺,76,10:00-21:00/Mon-Sun,null,川菜
川锦汇自选麻辣拌（巴黎春天百货店）,朝阳区,朝阳区红旗街红旗街西一胡同南行100米,10,9:00-21:00/Mon-Sun,null,川菜
弘扬川味,汽车开发区,汽车开发区锦程大街7号天吉锦城苑5幢2单元103号房,34,08:30-20:30/Mon-Sun,null,川菜
吉祥富贵重庆烧鸡公水煮鱼,朝阳区,朝阳区西朝阳路与云鹤胡同交汇,38,10:00-22:00/Mon-Sun,null,川菜
渝府干锅辣鸭头,双阳区,双阳区柏山路东鹿城中央区第3幢115号门市（金柜音乐广场对面）,38,08:30-21:30/Mon-Sun,null,川菜
蜀道川厨,南关区,南关区北海路与珠海南胡同交汇康诺口腔北行100米（高丽串城北侧 北海路口）,45,09:30-21:30/Mon-Sun,null,川菜
铭苑麻辣香锅-重庆烤鱼,宽城区,宽城区青年路住邦城市广场四楼,44,10:00-22:00/Mon-Sun,null,川菜
铭苑麻辣香锅（光明路店）,朝阳区,朝阳区光明路与新华路交汇新华路11号（安华手机商城右侧）,25,09:30-21:00/Mon-Sun,null,川菜
湘辣小厨（高薪店）,朝阳区,朝阳区硅谷大街3356号超达创业园15号楼109号,29,10:00-22:00/Mon-Sun,null,川菜
川渝巴蜀人家,朝阳区,朝阳区佳园路4399号（怡众名城南门对面）,54,11:00-23:00/Mon-Sun,null,川菜
猫儿宽巷毛血旺,朝阳区,朝阳区重庆路1255号卓展C座6楼,54,10:00-21:30/Mon-Sun,null,川菜
江边巫山烤全鱼,宽城区,宽城区农安北街572号天津路小学对面,35,09:30-23:30/Mon-Sun,null,川菜
吉百川烤鱼,朝阳区,朝阳区西中华路与清河街交叉口,52,10:30-22:00/Mon-Sun,null,川菜
江边巫山烤全鱼,宽城区,宽城区农安北街572号天津路小学对面,35,09:30-23:30/Mon-Sun,null,川菜
川辣子麻辣香锅,朝阳区,朝阳区集安路与大屯街交叉口北行30米（家天下房地产旁）,30,09:00-23:00/Mon-Sun,null,川菜
念念有鱼烤鱼坊,双阳区,双阳区学院大街1129号城市嘉园一期玛吉斯轮胎旁（夜市对面）,35,09:30-21:00/Mon-Sun,null,川菜
炉介烤鱼（活力城店）,南关区,南关区重庆路512号活力城负一层,44,10:00-21:30/Mon-Sun,null,川菜
云水巷火锅（临河街店）,净月开发区,净月开发区临河街与世尧路交叉口西北角,64,10:00-22:00/Mon-Sun,null,火锅
丽江龙源斑鱼坊,朝阳区,朝阳区湖西路1130号,82,09:30-21:00/Mon-Sun,null,火锅
川味自助涮鱼,宽城区,宽城区亚泰大街1876号与一匡街交叉口北行100米路东（中岳花园正门新天地超市邻侧）,38,10:00-21:00/Mon-Sun,null,火锅
谭鸭血老火锅（会展店）,南关区,南关区会展大街与珠海路交汇处东方万达城14幢104号房,81,9:00-21:00/Mon-Sun,null,火锅
香空间铁锅菜（一店总店）,朝阳区,朝阳区西安胡同733号（金安大酒店西行150米）,45,09:00-23:00/Mon-Sun,null,火锅
禧福祥老北京羊蝎子火锅（建设街店）,朝阳区,朝阳区建设街与慈光路交汇（慈光路口）,59,10:00-21:30/Mon-Sun,null,火锅
马路边边串串香（广德街店）,二道区,二道区广德街与东顺路交叉口西南角,57,10:30-22:00/Mon-Sun,null,火锅
小龙坎火锅（公主岭店）,公主岭市,公主岭市河南广场南行三百米小龙坎老火锅（鑫岛足浴旁边）,82,11:00-23:00/Mon-Sun,null,火锅
食局鲜特色扒拉锅,宽城区,宽城区二道区北湖春天D区(雅园路北100米)1036号,61,10:00-21:00/Mon-Sun,null,火锅
欧菲克烘焙（柳影路店）,宽城区,宽城区柳影路富丰小区8栋,107,07:00-19:30/Mon-Sun,null,甜品
麻雀牌小龙虾（净月店）,净月开发区,净月开发区园丁花园一期34栋101室,69,15:00-02:00/Mon-Fir/12:00-02:00/Sat-Sun,null,烧烤
味可滋烘焙坊（农大北门店）,净月开发区,净月开发区农大北门富地商城农贸区,33,8:00-19:30/Mon-Sun,null,甜品
海盗船自助餐厅（巴黎春天百货店）,朝阳区,朝阳区工农大路1055号巴黎春天百货7层,50,11:00-22:30/Mon-Sun,null,烧烤
麦乐蛋糕,汽车开发区,汽车开发区支农大街与双丰东路交汇东行21米,50,07:00-18:30/Mon-Sun,null,甜品
酒?肉?朋友海鲜 烤肉 烧烤,净月开发区,净月开发区净月新园银锦路桦林苑对面爱雅口腔门诊,45,11:00-23:00/Mon-Sun,null,烧烤
纽约克艺术烘焙（高新店）,朝阳区,朝阳区磐谷路309号澳洲城5栋,42,09:00-23:00/Mon-Sun,null,甜品
3000坊健康自助烤肉（柳影路店）,宽城区,宽城区柳影路与农安北街交汇处西北角柳影综合市场,51,11:00-23:00/Mon-Sun,null,烧烤
友记转烤坊（天富路店）,净月开发区,净月开发区天富路与生态东街交叉口南行50米路西,57,10:00-23:00/Mon-Sun,null,烧烤
甜心时间蛋糕,汽车开发区,汽车开发区兴顺路兴顺花园农贸综合市场,5,8:00-19:30/Mon-Sun,null,甜点
德扬小串城,净月开发区,净月开发区六区德阳宾馆南侧,55,13:30-00:30/Mon-Sun,null,烧烤
三齐韩式自助烤肉,朝阳区,朝阳区吉大南校友谊会馆后（前卫路783号）,38,10:00-00:00/Mon-Sun,null,烧烤
巴洛克烘焙（合肥路店),二道区,二道区合肥路新开河小区57栋4门110室,60,07:30-20:00/Mon-Sun,null,甜点
三齐韩式自助烤肉,朝阳区,朝阳区吉大南校友谊会馆后（前卫路783号),38,10:00-00:00/Mon-Sun,null,烧烤
王犟炭火烧肉自助,朝阳区,朝阳区红旗街与湖西路交叉口南行200米路东（日进海鲜4楼）,73,11:00-22:00/Mon-Sun,null,烧烤
麦琪朵私房烘焙（净月店）,净月开发区,净月开发区净月开发区紫薇街农大家属区41栋4门108室,100,08:00-23:00/Mon-Sun,null,甜点
群瑩坊老北京炙子烤肉,南关区,南关区会展大街与威海路交汇福临家园西区108号,63,10:00-24:00/Mon-Sun,null,烧烤
皇后印象（佳园路店）,朝阳区,朝阳区高新开发区佳园路怡众名城30栋106室,38,08:30-20:30/Mon-Sun,null,甜点
比尔森自助烤肉火锅（解放大路店）,南关区,南关区解放大路1019号（近欧亚超市),55,11:00-22:00/Mon-Sun,null,烧烤
